Entrenamiento,Email,Egresado,Precios US,Incluye pasantia,Primer contacto,Estatus laboral,Razon de retiro,Razon de eleccion del bootcamp,Proveedores de bootcamp,Horario de los bootcamps,Primer contacto_Instagram,Primer contacto_WhatsApp,Incluye pasantia_0,Incluye pasantia_1
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,hotmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Razones personales,Crecimiento laboral,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
C#,gmail.com,0,2900.0,0,Instagram,1,Razones personales,Crecimiento laboral,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Automatizacion,gmail.com,0,299.0,0,Instagram,0,Disponibilidad de tiempo,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,hotmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Software Testing QA,gmail.com,0,299.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,hotmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,infinither.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,299.0,0,WhatsApp,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Software Testing QA,gmail.com,0,299.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,WhatsApp,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,WhatsApp,1,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,WhatsApp,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,WhatsApp,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Bootcamp en Angular 13,gmail.com,0,499.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Angular 13,outlook.com,0,499.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Software Testing QA,hotmail.com,0,299.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,hotmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,outlook.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Angular 13,gmail.com,0,499.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,1,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sabados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Angular 13,gmail.com,0,499.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,hotmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Angular 13,gmail.com,0,499.0,0,Instagram,0,Disponibilidad de tiempo,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Angular 14,gmail.com,0,499.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Angular 15,gmail.com,0,499.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Certificacion en Python,gmail.com,0,130.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificacion en Python,gmail.com,0,130.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificacion en Python,gmail.com,0,130.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificacion en Python,gmail.com,0,130.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificacion en Python,gmail.com,0,130.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificacion en Python,gmail.com,0,130.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificacion en Python,gmail.com,0,130.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificacion en Python,hotmail.com,0,130.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificacion en Python,gmail.com,0,130.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificacion en Python,gmail.com,0,130.0,0,Instagram,0,Disponibilidad de tiempo,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificacion en Python,gmail.com,0,130.0,0,Instagram,0,Disponibilidad de tiempo,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificacion en Python,gmail.com,0,130.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Software Testing QA,gmail.com,0,299.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Software Testing QA,gmail.com,0,299.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Certificacion en Python,gmail.com,0,130.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Designer UI/UX,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y jueves de 7:00 pm a 9:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Designer UI/UX,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y jueves de 7:00 pm a 9:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,1,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,0,3450.0,1,WhatsApp,1,Disponibilidad de tiempo,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miercoles y jueves",0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,0,3450.0,1,WhatsApp,1,Otros Motivos,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miercoles y jueves",0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,0,3450.0,1,WhatsApp,0,Otros Motivos,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miercoles y jueves",0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,0,3450.0,1,WhatsApp,0,Otros Motivos,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miercoles y jueves",0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,0,3450.0,1,Instagram,1,Inconvenientes administrativos,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miercoles y jueves",1.0,0.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,hotmail.com,0,3450.0,1,WhatsApp,0,Otros Motivos,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miercoles y jueves",0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,0,3450.0,1,WhatsApp,0,Otros Motivos,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miercoles y jueves",0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,hotmail.com,0,3450.0,1,WhatsApp,0,Otros Motivos,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miercoles y jueves",0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,hotmail.com,0,3450.0,1,WhatsApp,0,Otros Motivos,Aprender algo nuevo,Talendig/ Coding Dojo,"Lunes, martes, miercoles y jueves",0.0,1.0,0.0,1.0
Bootcamp en Data Science y Machine Learning en Python,gmail.com,0,3450.0,1,WhatsApp,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, martes, miercoles y jueves",0.0,1.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,0,2900.0,0,Instagram,0,Otros Motivos,Aprender algo nuevo,Maestros de Talendig,"Lunes, miercoles y viernes de 8: pm a 10:00 pm",1.0,0.0,1.0,0.0
